Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
0,Abia,foreign,149232,4.7,2015,Honda,Accord,Automatic,5,4965000
1,Accra,local,145078,4.4,2005,Toyota,Corolla,Automatic,15,1280000
2,Accra,local,91691,4.6,2008,Toyota,Corolla,Automatic,12,1280000
3,Lagos,local,234797,4.5,2004,Toyota,Corolla,Automatic,16,1567500
4,Lagos,foreign,145678,4.8,2013,Hyundai,Azera,Automatic,7,6065000
5,Abia,foreign,207237,4.7,2009,Toyota,Sienna,Automatic,11,2890000
6,Lagos,foreign,76201,4.5,2009,Toyota,Venza,Automatic,11,6615000
7,Lagos,foreign,124275,4.9,2015,Nissan,Versa,Automatic,5,4195000
8,Accra,local,0,4,2010,Toyota,Avensis,Automatic,10,2085000
9,Lagos,local,195089,4.5,2006,Toyota,Camry,Automatic,14,8375000
10,Lagos,foreign,194905,4.8,2006,Honda,Pilot,Automatic,14,2430000
11,Abia,foreign,88687,4.8,2011,Toyota,Camry,Automatic,9,3465000
12,Lagos,foreign,85233,4.8,2010,Toyota,Highlander,Automatic,10,6065000
13,Lagos,foreign,85637,5,2012,Lexus,ES 350,Automatic,8,5075000
14,Lagos,local,158365,4.3,2004,Toyota,Corolla,Automatic,16,1682500
15,Lagos,foreign,76233,4.9,2009,Toyota,Corolla,Automatic,11,3350000
16,Abia,foreign,153606,4.6,2003,Toyota,Avensis,Automatic,17,2315000
17,Lagos,local,176894,3.6,2006,Honda,Accord,Automatic,14,762500
18,Lagos,local,242537,4.4,2005,Toyota,Camry,Automatic,15,1165000
19,Lagos,foreign,135744,4.7,2011,Hyundai,Sonata,Automatic,9,3235000
20,Lagos,foreign,148936,4.9,2012,Toyota,Camry,Automatic,8,3865000
21,Lagos,local,152878,4.9,2010,Toyota,Corolla,Automatic,10,2315000
22,Lagos,foreign,133212,5,2009,Nissan,Altima,Automatic,11,2832500
23,Lagos,foreign,76285,4.8,2005,Toyota,4-Runner,Automatic,15,3425000
24,Lagos,local,130185,4.2,2008,Toyota,Avanza,Automatic,12,1050000
25,Lagos,foreign,95548,4.8,2010,Toyota,Venza,Automatic,10,3865000
26,Lagos,foreign,179982,4.9,2004,Toyota,RAV 4,Automatic,16,2660000
27,Lagos,foreign,229802,4.2,2006,Toyota,Avalon,Automatic,14,2890000
28,Lagos,foreign,135332,4.9,2014,Toyota,RAV 4,Automatic,6,7495000
29,Lagos,foreign,18415,5,2017,Toyota,Corolla,Automatic,3,8815000
30,Lagos,foreign,0,4.7,2003,Toyota,Camry,Automatic,17,1970000
31,Lagos,foreign,61610,4.9,2013,Toyota,RAV 4,Automatic,7,8375000
32,Lagos,foreign,76794,4.9,2017,Lexus,LX 570,Automatic,3,30265000
33,Lagos,foreign,48254,5,2014,Kia,Cerato,Automatic,6,3865000
34,Lagos,foreign,31742,4.9,2009,Toyota,Vitz,Automatic,11,1855000
35,Lagos,local,40254,5,2015,Nissan,X-Trail,Automatic,5,4745000
36,Lagos,foreign,299999,4.9,2005,Toyota,Corolla,Automatic,15,2545000
37,Lagos,local,171039,3.3,2004,Nissan,Murano,Automatic,16,705000
38,Lagos,local,156834,4.8,2004,Honda,Accord,Automatic,16,820000
39,Lagos,foreign,151973,4.8,2007,Nissan,Maxima,Automatic,13,1855000
40,Lagos,foreign,65398,4.9,2013,Toyota,Sienna,Automatic,7,5185000
41,Lagos,foreign,170647,5,2010,Ford,Edge,Automatic,10,3645000
42,Lagos,foreign,198487,4.7,2003,Toyota,Camry,Automatic,17,2085000
43,Lagos,local,42282,4.8,2011,Toyota,Sienna,Automatic,9,3535000
44,Lagos,local,59125,4.6,2008,BMW,X6,Automatic,12,7715000
46,Lagos,foreign,71550,4.9,2013,Toyota,Corolla,Automatic,7,4415000
47,Lagos,local,268314,4.9,2002,Toyota,Camry,Automatic,18,1452500
48,Lagos,local,139886,3.7,2003,Honda,Accord,Automatic,17,705000
49,Lagos,foreign,155510,5,2007,Toyota,Avalon,Automatic,13,3005000
50,Lagos,foreign,99088,5,2009,Toyota,Corolla,Automatic,11,3235000
51,Lagos,foreign,74503,4.8,2014,Toyota,Corolla,Automatic,6,4195000
52,Lagos,foreign,14464,5,2019,Lexus,RX 350,Automatic,1,23115000
53,Lagos,foreign,14855,5,2018,Land,Rover Range Rover Velar,Automatic,2,49515000
55,Lagos,foreign,195828,4.9,2009,Toyota,Camry,Automatic,11,2660000
56,Lagos,local,155558,4.8,1999,Lexus,RX 300,Automatic,21,1165000
57,Lagos,foreign,110388,4.9,2014,Toyota,Corolla,Automatic,6,5185000
58,Lagos,foreign,143175,4.9,2008,Toyota,Camry,Automatic,12,2660000
59,Lagos,foreign,107757,4.8,2011,Lexus,RX 350,Automatic,9,8815000
60,Lagos,local,82998,4.2,2010,Toyota,Camry,Automatic,10,1395000
61,Lagos,foreign,19444,5,2016,Lexus,RX 350,Automatic,4,19265000
62,Lagos,local,140155,4.1,2004,Honda,Accord,Automatic,16,705000
63,Lagos,foreign,70456,4.8,2010,Toyota,Corolla,Automatic,10,3177500
64,Ogun,local,158107,4.9,2005,Toyota,Corolla,Automatic,15,1280000
65,Ogun,local,189229,4.7,2003,Lexus,RX 300,Automatic,17,1165000
66,Ogun,local,226551,4.9,2000,Honda,CR-V,Automatic,20,532500
67,Ogun,local,161816,4.8,2007,Toyota,Corolla,Automatic,13,935000
68,Lagos,foreign,65395,5,2014,Toyota,RAV 4,Automatic,6,7495000
69,Lagos,foreign,228321,4.8,2007,Toyota,Corolla,Automatic,13,2545000
70,Lagos,local,166501,4.9,2010,Toyota,Camry,Automatic,10,1740000
