,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
0,"₦ 2,810,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"111,111Km",E,2013,Nissan,NV350,Manual,Petrol
1,"₦ 2,810,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"53,805Km",B,2014,Mitsubishi,L200,Manual,Petrol
2,"₦ 1,690,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"89,358Km",E,2014,Kia,Rio,Manual,Petrol
3,"₦ 1,074,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"26,788Km",C,2017,Tata,Ace,Manual,Petrol
4,"₦ 1,074,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"16,894Km",C,2017,Tata,Ace,Manual,Petrol
5,"₦ 738,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"71,328Km",D,2014,Kia,Rio,Manual,Petrol
6,"₦ 570,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"178,415Km",E,2007,Hyundai,Accent,Manual,Petrol
7,"₦ 10,090,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"31,674Km",B,2013,Ford,Ranger,Manual,Petrol
8,"₦ 600,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"314,385Km",,2003,Volkswagen,Beatle,Manual,Petrol
9,"₦ 1,018,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"154,400Km",E,2004,Toyota,Avensis,Manual,Petrol
10,"₦ 906,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"198,686Km",D,2008,Toyota,Corolla,Manual,Petrol
11,"₦ 570,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"113,028Km",E,1998,Peugeot,406,Manual,Petrol
12,"₦ 794,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"151,189Km",D,2005,Toyota,Corolla verso,Manual,Petrol
13,"₦ 1,354,000",AKURE - SNB,Nigerian Used,"45,505Km",D,2013,Kia,Rio,Manual,Petrol
14,"₦ 850,000",Mainland 3 - SNB,Nigerian Used,"153,381Km",C,2005,Toyota,Corolla,Manual,Petrol
15,"₦ 1,130,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"147,436Km",,2010,Kia,Cerato,Manual,Petrol
16,"₦ 3,370,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"249,590Km",C,2013,Ford,Ranger,Manual,Petrol
17,"₦ 2,026,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"99,155Km",C,2013,Toyota,Corolla,Manual,Petrol
18,"₦ 460,000","Island - SNB                                        ,Lagos",Nigerian Used,"166,862Km",,2006,Kia,Rio,Manual,Petrol
19,"₦ 1,354,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"261,358Km",D,2001,Volkswagen,Golf,Manual,Petrol
20,"₦ 2,474,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"150,807Km",D,2014,Mitsubishi,Attrage,Manual,Petrol
21,"₦ 491,600","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"217,294Km",D,2000,Hyundai,Santa Fe,Manual,Petrol
22,"₦ 15,130,000",Mainland 3 - SNB,Nigerian Used,"29,400Km",C,2016,Jeep,Wrangler,Manual,Petrol
23,"₦ 700,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"238,361Km",,2009,Honda,City,Manual,Petrol
24,"₦ 738,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"287,116Km",E,2002,Renault,ESPACE,Manual,Petrol
25,"₦ 3,594,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"226,715Km",D,2008,Ford,Transit,Manual,Petrol
26,"₦ 480,400","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"214,295Km",,2000,Mazda,323,Manual,Petrol
27,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"199,313Km",D,2010,Mitsubishi,L200,Manual,Petrol
28,"₦ 1,130,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"157,197Km",D,2006,Chevrolet,NUBIRA,Manual,Petrol
29,"₦ 794,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"305,037Km",,1997,Volkswagen,Sharan,Manual,Petrol
30,"₦ 1,354,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"110,566Km",D,2009,Toyota,Corolla,Manual,Petrol
31,"₦ 682,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"999,999Km",,2002,Peugeot,406,Manual,Petrol
32,"₦ 883,600","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"122,543Km",D,2007,Hyundai,Elantra,Manual,Petrol
33,"₦ 570,000","Abuja - SNB                                        ,Abuja",Nigerian Used,2004,D,NG-725557,Peugeot,406,Manual,Petrol
34,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"157,643Km",D,2015,Mitsubishi,L200,Manual,Petrol
35,"₦ 1,354,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"71,475Km",D,2007,Toyota,Avanza,Manual,Petrol
36,"₦ 570,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"176,271Km",D,2007,Honda,Civic,Manual,Petrol
37,"₦ 2,474,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"60,005Km",D,2015,Mitsubishi,L200,Manual,Petrol
38,"₦ 827,600","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"266,230Km",D,2004,Honda,Accord,Manual,Petrol
39,"₦ 2,698,000","Island - SNB                                        ,Lagos",Nigerian Used,"160,007Km",E,2014,Mitsubishi,L200,Manual,Petrol
40,"₦ 500,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"287,116Km",,2001,Kia,Carens,Manual,Petrol
41,"₦ 2,474,000","Island - SNB                                        ,Lagos",Nigerian Used,"67,452Km",D,2014,Mitsubishi,L200,Manual,Petrol
42,"₦ 1,074,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"2,293,968Km",E,1994,Mitsubishi,L300,Manual,Petrol
43,"₦ 2,698,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"157,584Km",,2009,Mitsubishi,L200,Manual,Petrol
44,"₦ 850,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"204,877Km",,2009,Hyundai,Accent,Manual,Petrol
45,"₦ 402,000","Ilorin - SNB                                        ,Ilorin",Nigerian Used,"201,436Km",E,2002,Hyundai,Santa Fe,Manual,Petrol
46,"₦ 906,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"248,598Km",D,2002,Peugeot,607,Manual,Petrol
47,"₦ 1,130,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"177,816Km",,1998,Mitsubishi,L400,Manual,Petrol
48,"₦ 1,690,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,1Km,D,2015,Stallion,Force,Manual,Petrol
49,"₦ 794,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"113,968Km",E,2008,Hyundai,Accent,Manual,Petrol
50,"₦ 346,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"240,133Km",E,1999,Rover,600,Manual,Petrol
51,"₦ 346,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"275,833Km",E,1994,Honda,Accord,Manual,Petrol
52,"₦ 2,138,000",Mainland 3 - SNB,Foreign Used,"157,719Km",E,2005,Toyota,COROLLA VERSO,Manual,Petrol
53,"₦ 5,050,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"263,551Km",,2008,Toyota,HiAce,Manual,Petrol
54,"₦ 628,750","Abuja - SNB                                        ,Abuja",Nigerian Used,"281,652Km",D,2000,Volkswagen,Bora,Manual,Petrol
55,"₦ 1,242,000",Mainland 3 - SNB,Foreign Used,"204,140Km",D,2001,Mercedes-Benz,C180,Manual,Petrol
56,"₦ 626,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"115,188Km",E,2007,Kia,Cerato,Manual,Petrol
57,"₦ 1,018,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"103,980Km",E,2009,Hyundai,Accent,Manual,Petrol
58,"₦ 1,690,000","Island - SNB                                        ,Lagos",Nigerian Used,"123,713Km",D,2013,Mitsubishi,L200,Manual,Petrol
59,"₦ 1,690,000","Island - SNB                                        ,Lagos",Nigerian Used,"155,710Km",D,2013,Mitsubishi,L200,Manual,Petrol
60,"₦ 2,026,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"127,279Km",D,2002,Mini,Cooper,Manual,Petrol
61,"₦ 1,130,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"155,585Km",C,2008,Skoda,Octavia,Manual,Petrol
62,"₦ 520,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"135,622Km",,2008,Kia,Cerato,Manual,Petrol
63,"₦ 458,000",Mainland 3 - SNB,Nigerian Used,"194,565Km",E,2003,Civic,2003,Manual,Petrol
64,"₦ 1,354,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"299,787Km",D,2008,Toyota,Avensis,Manual,Petrol
65,"₦ 5,498,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"239,473Km",E,2008,Toyota,Hilux,Manual,Petrol
66,"₦ 1,018,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"27,810Km",,2000,Daihatsu,MOVE,Manual,Petrol
67,"₦ 1,914,000","Ibadan - SNB                                        ,Ibadan",Foreign Used,"110,061Km",,2003,Toyota,Corolla,Manual,Petrol
68,"₦ 794,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"239,547Km",,2007,Volkswagen,Jetta,Manual,Petrol
69,"₦ 1,018,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"122,601Km",,2008,Hyundai,Accent,Manual,Petrol
70,"₦ 1,130,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"230,049Km",,2006,Volkswagen,Passat,Manual,Petrol
71,"₦ 682,000","Ibadan - SNB                                        ,Ibadan",Nigerian Used,"163,534Km",,2000,Audi,A4,Manual,Petrol
72,"₦ 1,186,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"102,633Km",D,2009,Kia,Cerato,Manual,Petrol
73,"₦ 3,370,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"184,886Km",,2000,Toyota,HiAce,Manual,Petrol
74,"₦ 626,000","Abuja - SNB                                        ,Abuja",Nigerian Used,"162,278Km",,2003,Mazda,6,Manual,Petrol
75,"₦ 6,170,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"96,853Km",,2013,Toyota,Hilux,Manual,Petrol
76,"₦ 738,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"107,223Km",,2008,Honda,Civic,Manual,Petrol
77,"₦ 570,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"17,384Km",,2011,Geely,CK,Manual,Petrol
78,"₦ 514,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"354,666Km",D,2005,Toyota,Avensis,Manual,Petrol
79,"₦ 794,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"65,121Km",C,2009,Kia,Rio,Manual,Petrol
80,"₦ 7,290,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"180,926Km",,2014,Hilux,2014,Manual,Petrol
