Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
0,Abia,foreign,149232.0,4.7,2015.0,Honda,Accord,Automatic,5.0,4965000
1,Accra,local,145078.0,4.4,2005.0,Toyota,Corolla,Automatic,15.0,1280000
2,Accra,local,91691.0,4.6,2008.0,Toyota,Corolla,Automatic,12.0,1280000
3,Lagos,local,234797.0,4.5,2004.0,Toyota,Corolla,Automatic,16.0,1567500
4,Lagos,foreign,145678.0,4.8,2013.0,Hyundai,Azera,Automatic,7.0,6065000
5,Abia,foreign,207237.0,4.7,2009.0,Toyota,Sienna,Automatic,11.0,2890000
6,Lagos,foreign,76201.0,4.5,2009.0,Toyota,Venza,Automatic,11.0,6615000
7,Lagos,foreign,124275.0,4.9,2015.0,Nissan,Versa,Automatic,5.0,4195000
8,Accra,local,0.0,4.0,2010.0,Toyota,Avensis,Automatic,10.0,2085000
9,Lagos,local,195089.0,4.5,2006.0,Toyota,Camry,Automatic,14.0,8375000
10,Lagos,foreign,194905.0,4.8,2006.0,Honda,Pilot,Automatic,14.0,2430000
11,Abia,foreign,88687.0,4.8,2011.0,Toyota,Camry,Automatic,9.0,3465000
12,Lagos,foreign,85233.0,4.8,2010.0,Toyota,Highlander,Automatic,10.0,6065000
13,Lagos,foreign,85637.0,5.0,2012.0,Lexus,ES 350,Automatic,8.0,5075000
14,Lagos,local,158365.0,4.3,2004.0,Toyota,Corolla,Automatic,16.0,1682500
15,Lagos,foreign,76233.0,4.9,2009.0,Toyota,Corolla,Automatic,11.0,3350000
16,Abia,foreign,153606.0,4.6,2003.0,Toyota,Avensis,Automatic,17.0,2315000
17,Lagos,local,176894.0,3.6,2006.0,Honda,Accord,Automatic,14.0,762500
18,Lagos,local,242537.0,4.4,2005.0,Toyota,Camry,Automatic,15.0,1165000
19,Lagos,foreign,135744.0,4.7,2011.0,Hyundai,Sonata,Automatic,9.0,3235000
20,Lagos,foreign,148936.0,4.9,2012.0,Toyota,Camry,Automatic,8.0,3865000
21,Lagos,local,152878.0,4.9,2010.0,Toyota,Corolla,Automatic,10.0,2315000
22,Lagos,foreign,133212.0,5.0,2009.0,Nissan,Altima,Automatic,11.0,2832500
23,Lagos,foreign,76285.0,4.8,2005.0,Toyota,4-Runner,Automatic,15.0,3425000
24,Lagos,local,130185.0,4.2,2008.0,Toyota,Avanza,Automatic,12.0,1050000
25,Lagos,foreign,95548.0,4.8,2010.0,Toyota,Venza,Automatic,10.0,3865000
26,Lagos,foreign,179982.0,4.9,2004.0,Toyota,RAV 4,Automatic,16.0,2660000
27,Lagos,foreign,229802.0,4.2,2006.0,Toyota,Avalon,Automatic,14.0,2890000
28,Lagos,foreign,135332.0,4.9,2014.0,Toyota,RAV 4,Automatic,6.0,7495000
29,Lagos,foreign,18415.0,5.0,2017.0,Toyota,Corolla,Automatic,3.0,8815000
30,Lagos,foreign,0.0,4.7,2003.0,Toyota,Camry,Automatic,17.0,1970000
31,Lagos,foreign,61610.0,4.9,2013.0,Toyota,RAV 4,Automatic,7.0,8375000
32,Lagos,foreign,76794.0,4.9,2017.0,Lexus,LX 570,Automatic,3.0,30265000
33,Lagos,foreign,48254.0,5.0,2014.0,Kia,Cerato,Automatic,6.0,3865000
34,Lagos,foreign,31742.0,4.9,2009.0,Toyota,Vitz,Automatic,11.0,1855000
35,Lagos,local,40254.0,5.0,2015.0,Nissan,X-Trail,Automatic,5.0,4745000
36,Lagos,foreign,299999.0,4.9,2005.0,Toyota,Corolla,Automatic,15.0,2545000
37,Lagos,local,171039.0,3.3,2004.0,Nissan,Murano,Automatic,16.0,705000
38,Lagos,local,156834.0,4.8,2004.0,Honda,Accord,Automatic,16.0,820000
39,Lagos,foreign,151973.0,4.8,2007.0,Nissan,Maxima,Automatic,13.0,1855000
40,Lagos,foreign,65398.0,4.9,2013.0,Toyota,Sienna,Automatic,7.0,5185000
41,Lagos,foreign,170647.0,5.0,2010.0,Ford,Edge,Automatic,10.0,3645000
42,Lagos,foreign,198487.0,4.7,2003.0,Toyota,Camry,Automatic,17.0,2085000
43,Lagos,local,42282.0,4.8,2011.0,Toyota,Sienna,Automatic,9.0,3535000
44,Lagos,local,59125.0,4.6,2008.0,BMW,X6,Automatic,12.0,7715000
46,Lagos,foreign,71550.0,4.9,2013.0,Toyota,Corolla,Automatic,7.0,4415000
47,Lagos,local,268314.0,4.9,2002.0,Toyota,Camry,Automatic,18.0,1452500
48,Lagos,local,139886.0,3.7,2003.0,Honda,Accord,Automatic,17.0,705000
49,Lagos,foreign,155510.0,5.0,2007.0,Toyota,Avalon,Automatic,13.0,3005000
50,Lagos,foreign,99088.0,5.0,2009.0,Toyota,Corolla,Automatic,11.0,3235000
51,Lagos,foreign,74503.0,4.8,2014.0,Toyota,Corolla,Automatic,6.0,4195000
55,Lagos,foreign,195828.0,4.9,2009.0,Toyota,Camry,Automatic,11.0,2660000
57,Lagos,foreign,110388.0,4.9,2014.0,Toyota,Corolla,Automatic,6.0,5185000
58,Lagos,foreign,143175.0,4.9,2008.0,Toyota,Camry,Automatic,12.0,2660000
59,Lagos,foreign,107757.0,4.8,2011.0,Lexus,RX 350,Automatic,9.0,8815000
60,Lagos,local,82998.0,4.2,2010.0,Toyota,Camry,Automatic,10.0,1395000
61,Lagos,foreign,19444.0,5.0,2016.0,Lexus,RX 350,Automatic,4.0,19265000
62,Lagos,local,140155.0,4.1,2004.0,Honda,Accord,Automatic,16.0,705000
63,Lagos,foreign,70456.0,4.8,2010.0,Toyota,Corolla,Automatic,10.0,3177500
64,Ogun,local,158107.0,4.9,2005.0,Toyota,Corolla,Automatic,15.0,1280000
65,Ogun,local,189229.0,4.7,2003.0,Lexus,RX 300,Automatic,17.0,1165000
67,Ogun,local,161816.0,4.8,2007.0,Toyota,Corolla,Automatic,13.0,935000
68,Lagos,foreign,65395.0,5.0,2014.0,Toyota,RAV 4,Automatic,6.0,7495000
69,Lagos,foreign,228321.0,4.8,2007.0,Toyota,Corolla,Automatic,13.0,2545000
70,Lagos,local,166501.0,4.9,2010.0,Toyota,Camry,Automatic,10.0,1740000
71,Lagos,foreign,65015.0,4.9,2011.0,Toyota,Corolla,Automatic,9.0,2545000
72,Lagos,local,200095.0,4.8,2007.0,Lexus,ES 350,Automatic,13.0,2660000
73,Lagos,foreign,111466.0,4.9,2008.0,Toyota,Sienna,Automatic,12.0,2660000
74,Lagos,foreign,80508.0,5.0,2014.0,Toyota,RAV 4,Automatic,6.0,7935000
75,Lagos,foreign,125095.0,4.7,2007.0,Toyota,Camry,Automatic,13.0,3120000
76,Lagos,foreign,238884.0,4.5,2010.0,Nissan,Sentra,Automatic,10.0,2200000
77,Lagos,foreign,235765.0,4.9,2005.0,Toyota,Corolla,Automatic,15.0,2545000
78,Lagos,local,40238.0,4.7,2006.0,Toyota,Land Cruiser,Automatic,14.0,6065000
79,Lagos,foreign,147186.0,4.9,2006.0,Toyota,Corolla,Automatic,14.0,2660000
